codiabs,nom,casos des de l'1 juny,casos ultims 14 dies,homes(des de juny),dones(des de juny),poblacio,casos/100000 total,casos/100000 ultims 14 dies,
379,Sant Vicenç dels Horts 2,631.00,27.00,305.00,326.00,17381.00,3630.40,155.30,
138,Lleida 4 (Balàfia-Pardinyes-Secà de Sant Pere),753.00,30.00,335.00,418.00,27056.00,2783.10,110.90,
275,Badalona-4,151.00,21.00,63.00,88.00,12653.00,1193.40,166.00,
312,Sant Adrià de Besòs-2,318.00,41.00,174.00,144.00,16547.00,1921.80,247.80,
71,Barcelona-10A,364.00,41.00,162.00,202.00,36261.00,1003.80,113.10,
184,El Prat de Llobregat-3,191.00,25.00,79.00,112.00,12958.00,1474.00,192.90,
331,Barcelona-10J,295.00,50.00,136.00,159.00,22643.00,1302.80,220.80,
380,Vilanova i la Geltrú 3,102.00,23.00,48.00,54.00,18955.00,538.10,121.30,
16,Barcelona-1A,167.00,38.00,95.00,72.00,14565.00,1146.60,260.90,
72,Barcelona-10B,287.00,61.00,137.00,150.00,29047.00,988.10,210.00,
349,Mollet del Vallès-2 Oest,373.00,59.00,169.00,204.00,23859.00,1563.40,247.30,
258,Torroella de Montgrí,92.00,32.00,47.00,45.00,15512.00,593.10,206.30,
172,Palafrugell,162.00,30.00,80.00,82.00,30694.00,527.80,97.70,
98,Montserrat,129.00,27.00,59.00,70.00,13455.00,958.80,200.70,
251,Terrassa-E,778.00,196.00,377.00,401.00,63030.00,1234.30,311.00,
325,Pineda de Mar,221.00,41.00,119.00,102.00,30297.00,729.40,135.30,
143,Malgrat de Mar,121.00,10.00,51.00,70.00,27725.00,436.40,36.10,
340,Vila-seca,194.00,38.00,88.00,106.00,22097.00,877.90,172.00,
324,Vandellòs i l'Hospitalet de l'Infant,31.00,3.00,18.00,13.00,5894.00,526.00,50.90,
328,L'Aldea-Camarles-L'Ampolla,63.00,16.00,32.00,31.00,10327.00,610.10,154.90,
206,Sant Carles de la Ràpita,119.00,22.00,63.00,56.00,23898.00,497.90,92.10,
69,Barcelona-9E,261.00,24.00,123.00,138.00,15122.00,1726.00,158.70,
154,Mataró-3,374.00,78.00,167.00,207.00,18630.00,2007.50,418.70,
310,Rubí-2 Sud,632.00,130.00,291.00,341.00,40359.00,1565.90,322.10,
390,Sant Cugat del Vallès 3,217.00,66.00,111.00,106.00,26405.00,821.80,250.00,
23,Barcelona-2C,435.00,68.00,218.00,217.00,31068.00,1400.20,218.90,
136,Lleida 2 (Primer de Maig),908.00,56.00,392.00,516.00,25799.00,3519.50,217.10,
188,Riudoms,89.00,25.00,43.00,46.00,12623.00,705.10,198.10,
181,Ponts,44.00,7.00,20.00,24.00,3622.00,1214.80,193.30,
256,Tortosa-2 Oest,298.00,113.00,150.00,148.00,23562.00,1264.70,479.60,
4,Amposta,223.00,62.00,102.00,121.00,27621.00,807.40,224.50,
294,L'Hospitalet de Llobregat-7,1006.00,99.00,450.00,556.00,22329.00,4505.40,443.40,
292,L'Hospitalet de Llobregat-5,372.00,37.00,166.00,206.00,20206.00,1841.00,183.10,
38,Barcelona-3G,378.00,39.00,178.00,200.00,22906.00,1650.20,170.30,
123,Gavà-2,355.00,25.00,174.00,181.00,26254.00,1352.20,95.20,
262,Alt Camp Est,58.00,3.00,27.00,31.00,11844.00,489.70,25.30,
176,Penedès rural,231.00,22.00,111.00,120.00,33983.00,679.80,64.70,
261,Vallirana,179.00,28.00,78.00,101.00,23269.00,769.30,120.30,
369,Castelldefels 1,217.00,22.00,96.00,121.00,17290.00,1255.10,127.20,
306,Reus-4,294.00,72.00,140.00,154.00,21428.00,1372.00,336.00,
305,Reus-3,261.00,36.00,113.00,148.00,22605.00,1154.60,159.30,
354,La Selva del Camp,59.00,5.00,26.00,33.00,7228.00,816.30,69.20,
87,Les Borges del Camp,56.00,22.00,28.00,28.00,6698.00,836.10,328.50,
112,Cornudella de Montsant,13.00,1.00,9.00,4.00,2175.00,597.70,46.00,
86,Les Borges Blanques,281.00,73.00,142.00,139.00,15876.00,1770.00,459.80,
161,Pla d'Urgell,647.00,40.00,312.00,335.00,37936.00,1705.50,105.40,
201,Sant Andreu de la Barca,238.00,55.00,114.00,124.00,28033.00,849.00,196.20,
399,Castellbisbal,0.00,#N/D,0.00,0.00,#N/D,#N/D,#N/D,
149,Martorell,277.00,52.00,135.00,142.00,29586.00,936.30,175.80,
370,Castelldefels 2,103.00,15.00,39.00,64.00,12234.00,841.90,122.60,
168,Olesa de Montserrat,161.00,17.00,75.00,86.00,24001.00,670.80,70.80,
211,Navarcles-Sant Fruitós de Bages,237.00,24.00,101.00,136.00,23446.00,1010.80,102.40,
215,Sant Joan de Vilatorrada,209.00,11.00,93.00,116.00,13025.00,1604.60,84.50,
237,Súria,85.00,5.00,32.00,53.00,8777.00,968.40,57.00,
96,Cardona,58.00,7.00,23.00,35.00,5063.00,1145.60,138.30,
169,Alt Urgell Sud,26.00,1.00,9.00,17.00,3813.00,681.90,26.20,
